"AGEGRP","Year","Population","Race","Sex"
"12","1950",3368920,"White","Male"
"12","1950",3367996,"White","Female"
"12","1950",287529,"NonWhite","Male"
"12","1950",268639,"NonWhite","Female"
"13","1950",2841481,"White","Male"
"13","1950",2840668,"White","Female"
"13","1950",216469,"NonWhite","Male"
"13","1950",204405,"NonWhite","Female"
"14","1950",2239812,"White","Male"
"14","1950",2381926,"White","Female"
"14","1950",207030,"NonWhite","Male"
"14","1950",220021,"NonWhite","Female"
"15","1950",1523696,"White","Male"
"15","1950",1682028,"White","Female"
"15","1950",119952,"NonWhite","Male"
"15","1950",118312,"NonWhite","Female"
"16","1950",1641077,"White","Male"
"16","1950",2006503,"White","Female"
"16","1950",124445,"NonWhite","Male"
"16","1950",132374,"NonWhite","Female"
"1","1960",8855564,"White","Male"
"1","1960",8517156,"White","Female"
"1","1960",1483216,"NonWhite","Male"
"1","1960",1485313,"NonWhite","Female"
"2","1960",8252472,"White","Male"
"2","1960",7933261,"White","Female"
"2","1960",1312067,"NonWhite","Male"
"2","1960",1312217,"NonWhite","Female"
"3","1960",7522388,"White","Male"
"3","1960",7244343,"White","Female"
"3","1960",1080061,"NonWhite","Male"
"3","1960",1078689,"NonWhite","Female"
"4","1960",5993185,"White","Male"
"4","1960",5819061,"White","Female"
"4","1960",809317,"NonWhite","Male"
"4","1960",820614,"NonWhite","Female"
"5","1960",4919442,"White","Male"
"5","1960",4856793,"White","Female"
"5","1960",649199,"NonWhite","Male"
"5","1960",708743,"NonWhite","Female"
"6","1960",4803073,"White","Male"
"6","1960",4812371,"White","Female"
"6","1960",620111,"NonWhite","Male"
"6","1960",700072,"NonWhite","Female"
"7","1960",5269601,"White","Male"
"7","1960",5345586,"White","Female"
"7","1960",634626,"NonWhite","Male"
"7","1960",733090,"NonWhite","Female"
"8","1960",5501634,"White","Male"
"8","1960",5692550,"White","Female"
"8","1960",638330,"NonWhite","Male"
"8","1960",709958,"NonWhite","Female"
"9","1960",5169332,"White","Male"
"9","1960",5325293,"White","Female"
"9","1960",563122,"NonWhite","Male"
"9","1960",621144,"NonWhite","Female"
"10","1960",4848612,"White","Male"
"10","1960",4968925,"White","Female"
"10","1960",530660,"NonWhite","Male"
"10","1960",565811,"NonWhite","Female"
"11","1960",4311181,"White","Male"
"11","1960",4433758,"White","Female"
"11","1960",451688,"NonWhite","Male"
"11","1960",467487,"NonWhite","Female"
"12","1960",3745133,"White","Male"
"12","1960",3919072,"White","Female"
"12","1960",399787,"NonWhite","Male"
"12","1960",406906,"NonWhite","Female"
"13","1960",3123868,"White","Male"
"13","1960",3433991,"White","Female"
"13","1960",289723,"NonWhite","Male"
"13","1960",306531,"NonWhite","Female"
"14","1960",2687241,"White","Male"
"14","1960",3068566,"White","Female"
"14","1960",249108,"NonWhite","Male"
"14","1960",275197,"NonWhite","Female"
"15","1960",2028208,"White","Male"
"15","1960",2393108,"White","Female"
"15","1960",168462,"NonWhite","Male"
"15","1960",183583,"NonWhite","Female"
"16","1960",2226053,"White","Male"
"16","1960",3001852,"White","Female"
"16","1960",183047,"NonWhite","Male"
"16","1960",210606,"NonWhite","Female"
"1","1970",7398313,"White","Male"
"1","1970",7070876,"White","Female"
"1","1970",1352814,"NonWhite","Male"
